Position,Team,Player,Date,Value
Pitcher,Team1,A1,03/11/20,68
Pitcher,Team1,A1,08/24/19,62
Pitcher,Team1,A1,08/18/19,53
Pitcher,Team1,A1,08/14/19,63
Pitcher,Team1,A1,08/10/19,48
Pitcher,Team1,A1,08/03/19,67
Pitcher,Team1,A1,07/31/19,66
Pitcher,Team1,A1,07/03/19,63
Pitcher,Team1,A1,06/28/19,65
Pitcher,Team1,A1,06/16/19,51
Pitcher,Team1,A1,06/10/19,54
Pitcher,Team1,A1,06/03/19,55
Pitcher,Team1,A1,05/30/19,64
Pitcher,Team1,A1,05/25/19,57
Pitcher,Team1,A1,05/16/19,59
Pitcher,Team1,A1,05/14/19,50
Pitcher,Team1,A1,05/09/19,57
Pitcher,Team1,A1,05/05/19,55
Pitcher,Team1,A1,04/30/19,68
Pitcher,Team1,A1,04/29/19,59
Pitcher,Team1,A2,06/25/19,59
Pitcher,Team1,A2,06/12/19,43
Pitcher,Team1,A2,06/06/19,58
Pitcher,Team1,A2,05/30/19,52
Pitcher,Team1,A2,05/26/19,49
Pitcher,Team1,A2,05/10/19,64
Pitcher,Team1,A3,03/02/20,50
Pitcher,Team1,A3,02/18/20,41
Pitcher,Team1,A3,02/13/20,48
Pitcher,Team1,A3,02/03/20,46
Pitcher,Team1,A3,01/27/20,43
Pitcher,Team1,A3,08/07/19,50
Pitcher,Team1,A3,08/02/19,40
Pitcher,Team1,A3,07/26/19,41
Pitcher,Team1,A3,07/11/19,43
Pitcher,Team1,A3,06/22/19,44
Pitcher,Team1,A3,06/16/19,41
Pitcher,Team1,A3,06/09/19,48
Pitcher,Team1,A3,05/27/19,54
Pitcher,Team1,A3,05/24/19,52
Pitcher,Team1,A3,05/16/19,51
Pitcher,Team1,A3,05/08/19,40
Pitcher,Team1,A3,05/04/19,50
Pitcher,Team1,A4,03/02/20,64
Pitcher,Team1,A4,02/24/20,78
Pitcher,Team1,A4,02/18/20,60
Pitcher,Team1,A4,02/03/20,75
Pitcher,Team1,A4,01/27/20,69
Pitcher,Team1,A4,08/20/19,71
Pitcher,Team1,A4,08/09/19,66
Pitcher,Team1,A4,07/27/19,65
Pitcher,Team1,A4,07/15/19,76
Pitcher,Team1,A4,07/11/19,67
Pitcher,Team1,A4,07/01/19,64
Pitcher,Team1,A4,06/24/19,80
